ID,Northing,Easting,Elevation,Code
1054,2781833.469,486196.193,95.894,C
1055,2781828.713,486196.707,95.906,C
1056,2781826.492,486205.357,96.035,C
1057,2781820.665,486204.082,96.054,C
1058,2781822.258,486198.877,95.943,C
1059,2781822.139,486212.327,96.174,C
1060,2781820.584,486208.661,96.133,C
1150,2781803.765,486195.741,95.717,C
1151,2781806.861,486195.405,95.724,C
1152,2781809.899,486194.215,95.692,C
1153,2781811.222,486191.59,95.634,C
1154,2781810.381,486188.27,95.581,C
1155,2781807.599,486186.688,95.524,C
1156,2781803.796,486186.182,95.507,C
1157,2781799.281,486187.52,95.517,C
1158,2781795.501,486186.749,95.502,C
1159,2781793.002,486189.628,95.572,C
1160,2781794.872,486192.301,95.643,C
1161,2781792.796,486195.873,95.743,C
1162,2781787.859,486198.07,95.784,C
1163,2781783.75,486196.144,95.73,C
1164,2781785.268,486202.203,95.885,C
1165,2781788.609,486203.868,95.948,C
1166,2781792.008,486201.063,95.852,C
1167,2781795.696,486202.789,95.924,C
1168,2781792.852,486205.557,96.014,C
1169,2781790.634,486207.476,96.046,C
1170,2781796.165,486207.901,96.057,C
1171,2781799.573,486206.218,96.012,C
1172,2781802.537,486203.347,95.954,C
1173,2781806.608,486206.569,96.045,C
1174,2781810.138,486205.045,95.963,C
1175,2781813.275,486203.458,95.936,C
1176,2781810.105,486199.55,95.806,C
1177,2781811.779,486194.466,95.695,C
1178,2781808.94,486190.108,95.609,C
1179,2781802.214,486192.15,95.632,C
1180,2781819.817,486195.19,95.94,C
1181,2781821.683,486190.82,95.874,C
1182,2781815.782,486187.592,95.746,C
1183,2781811.743,486181.706,95.552,C
1184,2781805.481,486173.205,95.252,C
1185,2781806.743,486166.771,95.085,C
1186,2781809.971,486160.649,94.926,C
1187,2781809.802,486154.898,94.888,C
1209,2781797.895,486179.105,95.389,C
1210,2781794.649,486181.686,95.435,C
1211,2781793.768,486177.639,95.365,C
1212,2781788.245,486181.408,95.417,C
1213,2781785.978,486185.707,95.483,C
1214,2781781.026,486183.953,95.396,C
1215,2781781.2,486187.638,95.488,C
1216,2781776.99,486189.988,95.478,C
1217,2781778.756,486193.387,95.552,C
1218,2781777.07,486197.93,95.636,C
1219,2781771.398,486196.813,95.434,C
1220,2781768.864,486201.798,95.461,C
1221,2781776.031,486202.497,95.714,C
1222,2781774.436,486206.591,95.724,C
1223,2781780.805,486208.436,95.941,C
1224,2781779.101,486213.933,96.03,C
1225,2781786.283,486211.636,96.147,C
1226,2781790.773,486217.054,96.346,C
1231,2781793.817,486212.017,96.287,C
1232,2781797.321,486215.004,96.332,C
1233,2781801.13,486211.982,96.309,C
1234,2781805.242,486214.32,96.351,C
1235,2781807.665,486211.066,96.287,C
1236,2781812.1,486213.083,96.32,C
1237,2781815.699,486208.09,96.222,C
1242,2781872.59,486272.976,99.002,C
1243,2781872.952,486271.299,98.924,C
1244,2781874.998,486270.655,98.814,C
1245,2781874.824,486269.138,98.607,C
1246,2781873.94,486268.151,98.576,C
1247,2781876.017,486268.074,98.45,C
1248,2781875.571,486265.235,98.181,C
1249,2781877.718,486266.027,98.103,C
1250,2781879.725,486264.146,97.744,C
1251,2781881.553,486262.186,97.402,C
1252,2781880.788,486261.181,97.365,C
1253,2781879.469,486260.419,97.411,C
1254,2781877.746,486262.651,97.755,C
1255,2781879.8,486260.508,97.392,C
1256,2781882.986,486260.374,97.073,C
1257,2781884.612,486257.839,96.642,C
1258,2781887.773,486256.228,96.161,C
1259,2781888.158,486254.183,95.948,C
1260,2781873.508,486265.81,98.413,C
1261,2781874.997,486264.702,98.171,C
1262,2781876.499,486262.66,97.859,C
1263,2781878.528,486260.213,97.464,C
1264,2781881.143,486257.948,97.002,C
1265,2781884.784,486255.574,96.411,C
1266,2781885.238,486251.15,96.055,C
1267,2781882.37,486255.486,96.613,C
1268,2781885.739,486255.467,96.311,C
1269,2781887.18,486252.05,95.839,C
1270,2781889.683,486254.771,95.889,C
1271,2781892.742,486250.756,95.326,C
1272,2781891.86,486249.621,95.293,C
1273,2781893.045,486246.458,94.956,C
1274,2781894.472,486244.8,94.765,C
1275,2781895.444,486245.157,94.716,C
1276,2781897.206,486246.823,94.712,C
1277,2781893.768,486250.933,95.52,C
1278,2781896.642,486242.95,94.476,C
1279,2781898.546,486242.216,94.301,C
1280,2781900.075,486243.367,94.267,C
1281,2781895.251,486247.001,94.849,C
1282,2781898.989,486240.808,94.381,C
1283,2781899.927,486241.66,94.453,C
1284,2781901.201,486242.883,94.521,C
1285,2781904.106,486234.835,93.643,C
1286,2781905.012,486234.933,93.571,C
1287,2781906.602,486235.25,93.457,C
1288,2781908.106,486235.26,93.318,C
1289,2781910.11,486233.87,93.122,C
1290,2781907.745,486233.998,93.351,C
1291,2781906.163,486232.414,93.441,C
1292,2781872.207,486276.323,99.081,C
1293,2781871.699,486275.639,99.069,C
1294,2781872.399,486274.915,99.052,C
1295,2781873.348,486274.645,99.047,C
1296,2781873.952,486272.954,99.016,C
1297,2781874.329,486272.493,98.992,C
